Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
72	-2	-2	1	18	1	20	276	-4	-4
72	1	4	2	22	2	10	377	3	2
72	1	3	3	27	2	15	376	0	-2
72	-2	-4	4	11	1	6	275	-3	1
72	2	3	5	25	2	25	377	2	0
72	-2	-4	6	16	1	10	277	-3	-1
72	2	-3	7	24	2	20	376	0	2
72	-2	-3	8	13	1	15	277	-2	3
72	2	2	9	29	2	6	370	3	4
72	-2	3	10	16	1	10	277	-2	-2
72	2	0	11	21	2	6	376	1	-3
72	-1	-1	12	17	1	15	275	-4	2
72	2	2	13	26	2	10	370	2	1
72	-1	0	14	14	1	20	275	-4	-1
72	2	4	15	23	2	15	370	3	-2
72	-2	-4	16	19	1	6	277	-3	0
72	3	3	17	28	2	20	377	3	2
72	-2	1	18	12	1	10	276	-3	1
72	0	-2	1	22	2	10	377	3	-2
72	-1	2	2	11	1	6	275	-4	0
72	-1	0	3	15	1	25	276	-3	2
72	-2	0	4	18	1	20	276	-3	1
72	2	2	5	21	2	6	376	0	2
72	1	-1	6	29	2	6	370	3	1
72	1	4	7	24	2	20	376	0	-1
72	-2	-1	8	13	1	15	277	-3	4
72	2	0	9	27	2	15	376	0	3
72	-2	-4	10	19	1	6	277	-2	2
72	-2	-4	11	12	1	10	276	-3	-3
72	2	2	12	26	2	10	370	2	-4
72	2	2	13	28	2	20	377	3	-3
72	-1	-4	14	17	1	15	275	-3	-3
72	3	-1	15	21	2	6	376	1	0
72	-2	-2	16	11	1	6	275	-3	-2
72	3	1	17	23	2	15	370	3	0
72	-2	-4	18	14	1	20	275	-3	3
72	-1	-1	1	14	1	20	275	-3	1
72	-1	-1	2	11	1	6	275	-2	-3
72	2	-1	3	29	2	6	370	3	4
72	-2	0	4	18	1	20	276	-2	4
72	3	2	5	25	2	25	377	4	-2
72	-1	2	6	16	1	10	277	-1	2
72	3	-1	7	24	2	20	376	1	-3
72	-1	2	8	13	1	15	277	-2	1
72	2	-3	9	27	2	15	376	1	1
72	-2	0	10	19	1	6	277	-2	-2
72	-1	-3	11	12	1	10	276	-2	0
72	3	0	12	26	2	10	370	3	1
72	2	-1	13	28	2	20	377	3	-1
72	-1	-3	14	17	1	15	275	-3	-3
72	2	0	15	21	2	6	376	0	3
72	-1	4	16	15	1	25	276	-3	-1
72	2	-1	17	23	2	15	370	2	-3
72	2	-2	18	22	2	10	377	3	3
