Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP_13	0	4	1	18	1	20	276	-2	0
123_GH_VP_13	0	-2	2	22	2	10	377	1	-1
123_GH_VP_13	0	0	3	27	2	15	376	-1	-1
123_GH_VP_13	0	2	4	11	1	6	275	-3	2
123_GH_VP_13	0	-4	5	25	2	25	377	1	0
123_GH_VP_13	0	-2	6	16	1	10	277	-3	-4
123_GH_VP_13	1	3	7	24	2	20	376	-1	-3
123_GH_VP_13	0	3	8	13	1	15	277	-2	-4
123_GH_VP_13	1	-2	9	29	2	6	370	0	-1
123_GH_VP_13	-1	-4	10	16	1	10	277	-3	1
123_GH_VP_13	2	-1	11	21	2	6	376	-1	1
123_GH_VP_13	0	-1	12	17	1	15	275	-3	-2
123_GH_VP_13	2	0	13	26	2	10	370	1	-2
123_GH_VP_13	-1	2	14	14	1	20	275	-3	0
123_GH_VP_13	2	1	15	23	2	15	370	1	3
123_GH_VP_13	-1	0	16	19	1	6	277	-3	-1
123_GH_VP_13	2	0	17	28	2	20	377	2	-2
123_GH_VP_13	-2	0	18	12	1	10	276	-2	0
123_GH_VP_13	0	4	1	22	2	10	377	2	4
123_GH_VP_13	-1	4	2	11	1	6	275	-4	-3
123_GH_VP_13	0	-2	3	15	1	25	276	-2	-2
123_GH_VP_13	0	-2	4	18	1	20	276	-2	2
123_GH_VP_13	2	-4	5	21	2	6	376	-2	3
123_GH_VP_13	1	-3	6	29	2	6	370	1	4
123_GH_VP_13	0	1	7	24	2	20	376	-2	-2
123_GH_VP_13	0	-3	8	13	1	15	277	-3	0
123_GH_VP_13	2	-1	9	27	2	15	376	-3	2
123_GH_VP_13	0	-3	10	19	1	6	277	-3	-2
123_GH_VP_13	-1	1	11	12	1	10	276	-1	0
123_GH_VP_13	3	-3	12	26	2	10	370	1	-2
123_GH_VP_13	0	3	13	28	2	20	377	1	-1
123_GH_VP_13	-2	-2	14	17	1	15	275	-4	-2
123_GH_VP_13	3	4	15	21	2	6	376	-3	-4
123_GH_VP_13	-2	0	16	11	1	6	275	-4	-3
123_GH_VP_13	2	-2	17	23	2	15	370	2	2
123_GH_VP_13	-2	0	18	14	1	20	275	-3	3
123_GH_VP_13	-2	-3	1	14	1	20	275	-4	-2
123_GH_VP_13	-1	0	2	11	1	6	275	-4	-2
123_GH_VP_13	3	2	3	29	2	6	370	2	4
123_GH_VP_13	-1	-2	4	18	1	20	276	-2	-1
123_GH_VP_13	1	-4	5	25	2	25	377	3	-1
123_GH_VP_13	-1	-4	6	16	1	10	277	-3	4
123_GH_VP_13	1	-2	7	24	2	20	376	-1	3
123_GH_VP_13	0	-1	8	13	1	15	277	-3	-2
123_GH_VP_13	2	4	9	27	2	15	376	-1	1
123_GH_VP_13	0	-4	10	19	1	6	277	-2	2
123_GH_VP_13	0	1	11	12	1	10	276	-2	0
123_GH_VP_13	2	-2	12	26	2	10	370	1	0
123_GH_VP_13	0	1	13	28	2	20	377	2	-4
123_GH_VP_13	0	1	14	17	1	15	275	-4	-3
123_GH_VP_13	2	4	15	21	2	6	376	-2	-2
123_GH_VP_13	-1	0	16	15	1	25	276	-2	3
123_GH_VP_13	2	-2	17	23	2	15	370	1	3
123_GH_VP_13	0	2	18	22	2	10	377	1	-4
